,us_ip,us_cpi,fed_funds,fed_bs,vix,us_10y,de_ip,de_cpi,ecb_rate,ecb_bs,de_10y
us_ip,0.9488555338647905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us_cpi,0.035491043007074806,0.5981195341653176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fed_funds,0.019718409050367647,0.017834419936752707,0.10553224276187342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fed_bs,-0.010470704018973674,-0.004864343513734019,-0.012972873810544726,0.03192782733579019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vix,-0.10756314472673499,-0.4950292409199893,-1.8840012750062902,1.4117170893168713,3.6809415924866236,0.0,0.0,0.0,0.0,0.0,0.0
us_10y,0.013800441092325356,0.04287373186359249,0.022816948968126475,-0.006103863517098215,-0.043099684969661003,0.18428645623064135,0.0,0.0,0.0,0.0,0.0
de_ip,1.0790770168279575,0.17494925562898472,0.08272252293105468,-0.040295622130127426,-0.17060982651544526,0.07796234704916578,1.460781388445568,0.0,0.0,0.0,0.0
de_cpi,0.028429688205453843,0.11128820481911794,-0.0034028569697987735,0.03923553203082731,0.0068242824360607805,0.058315886849725884,-0.04627562350986966,0.36302459184839514,0.0,0.0,0.0
ecb_rate,0.00479079171460986,0.0055283515173577364,0.00842023359615536,0.0004619704934237597,-0.0011978721316552822,0.010227122845698242,0.008850380747060644,0.009062970084924805,0.06760445766870837,0.0,0.0
ecb_bs,0.003978369200549187,0.00042783040538644384,-0.0023031624602215294,0.014033145304702784,0.0014850595445489376,0.002600020105744166,0.003211824557542843,0.0023974463336940547,4.9790801099219366e-05,0.02800638096443576,0.0
de_10y,-0.011151856391736496,0.0426703249943272,0.002408285185533724,-0.0009014188676279382,-0.02461833280075262,0.11874108315830838,-0.002867936121735403,-0.0040085384027990145,0.0011727555450948715,-0.005760253257965155,0.08802341926594401
